

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  90.609188  89.769744  90.720036  90.244890
12  Original      0         2  90.690144  89.769744  90.720036  90.244890
24  Original      0         3  89.860352  89.769744  90.720036  90.244890
36  Original      0         4  89.941307  89.769744  90.720036  90.244890
48  Original      0         5  90.123457  89.769744  90.720036  90.244890
1   Original      5         1  62.760575  55.342018  63.063163  59.202591
13  Original      5         2  59.684274  55.342018  63.063163  59.202591
25  Original      5         3  54.523376  55.342018  63.063163  59.202591
37  Original      5         4  58.166363  55.342018  63.063163  59.202591
49  Original      5         5  60.878365  55.342018  63.063163  59.202591
2   Original     10         1  24.306820  23.626954  31.244529  27.435742
14  Original     10         2  31.754706  23.626954  31.244529  27.435742
26  Original     10         3  25.156851  23.626954  31.244529  27.435742
38  Original     10         4  29.285570  23.626954  31.244529  27.435742
50  Original     10         5  26.674762  23.626954  31.244529  27.435742
3   Original     15         1  12.932605  10.204341  12.665523  11.434932
15  Original     15         2  11.515887  10.204341  12.665523  11.434932
27  Original     15         3  11.596843  10.204341  12.665523  11.434932
39  Original     15         4  10.301558  10.204341  12.665523  11.434932
51  Original     15         5  10.827768  10.204341  12.665523  11.434932
4   Original     20         1   4.553734   4.569993   6.253727   5.411860
16  Original     20         2   5.039466   4.569993   6.253727   5.411860
28  Original     20         3   5.545436   4.569993   6.253727   5.411860
40  Original     20         4   5.545436   4.569993   6.253727   5.411860
52  Original     20         5   6.375228   4.569993   6.253727   5.411860
5   Original     25         1   2.550091   1.758386   2.758918   2.258652
17  Original     25         2   1.922688   1.758386   2.758918   2.258652
29  Original     25         3   2.792957   1.758386   2.758918   2.258652
41  Original     25         4   2.165554   1.758386   2.758918   2.258652
53  Original     25         5   1.861971   1.758386   2.758918   2.258652
6   Proposed      0         1  90.669905  89.921193  90.940981  90.431087
18  Proposed      0         2  90.487756  89.921193  90.940981  90.431087
30  Proposed      0         3  90.082979  89.921193  90.940981  90.431087
42  Proposed      0         4  90.953248  89.921193  90.940981  90.431087
54  Proposed      0         5  89.961546  89.921193  90.940981  90.431087
7   Proposed      5         1  79.983809  77.664667  79.785242  78.724954
19  Proposed      5         2  77.980166  77.664667  79.785242  78.724954
31  Proposed      5         3  77.959927  77.664667  79.785242  78.724954
43  Proposed      5         4  78.567092  77.664667  79.785242  78.724954
55  Proposed      5         5  79.133779  77.664667  79.785242  78.724954
8   Proposed     10         1  52.641166  53.065924  59.016651  56.041287
