

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  90.791338  89.916531  90.791828  90.354179
12  Original      0         2  90.305606  89.916531  90.791828  90.354179
24  Original      0         3  89.819875  89.916531  90.791828  90.354179
36  Original      0         4  90.366323  89.916531  90.791828  90.354179
48  Original      0         5  90.487756  89.916531  90.791828  90.354179
1   Original      5         1  58.146124  56.977935  60.706745  58.842340
13  Original      5         2  59.218782  56.977935  60.706745  58.842340
25  Original      5         3  56.891318  56.977935  60.706745  58.842340
37  Original      5         4  60.979559  56.977935  60.706745  58.842340
49  Original      5         5  58.975916  56.977935  60.706745  58.842340
2   Original     10         1  34.001214  34.007253  36.958139  35.482696
14  Original     10         2  35.539365  34.007253  36.958139  35.482696
26  Original     10         3  36.065574  34.007253  36.958139  35.482696
38  Original     10         4  37.077515  34.007253  36.958139  35.482696
50  Original     10         5  34.729812  34.007253  36.958139  35.482696
3   Original     15         1  18.154220  17.556967  19.949610  18.753289
15  Original     15         2  19.328071  17.556967  19.949610  18.753289
27  Original     15         3  19.388788  17.556967  19.949610  18.753289
39  Original     15         4  17.344667  17.556967  19.949610  18.753289
51  Original     15         5  19.550698  17.556967  19.949610  18.753289
4   Original     20         1  10.726574  10.209646  12.401162  11.305404
16  Original     20         2  10.584902  10.209646  12.401162  11.305404
28  Original     20         3  11.900425  10.209646  12.401162  11.305404
40  Original     20         4  12.568306  10.209646  12.401162  11.305404
52  Original     20         5  10.746812  10.209646  12.401162  11.305404
5   Original     25         1   5.929974   5.758719   6.926972   6.342846
17  Original     25         2   6.941915   5.758719   6.926972   6.342846
29  Original     25         3   6.699049   5.758719   6.926972   6.342846
41  Original     25         4   6.274034   5.758719   6.926972   6.342846
53  Original     25         5   5.869257   5.758719   6.926972   6.342846
6   Proposed      0         1  90.285367  89.480481  90.863579  90.172030
18  Proposed      0         2  89.921069  89.480481  90.863579  90.172030
30  Proposed      0         3  89.354382  89.480481  90.863579  90.172030
42  Proposed      0         4  90.791338  89.480481  90.863579  90.172030
54  Proposed      0         5  90.507994  89.480481  90.863579  90.172030
7   Proposed      5         1  66.302368  65.306465  67.913531  66.609998
19  Proposed      5         2  65.492815  65.306465  67.913531  66.609998
31  Proposed      5         3  66.484517  65.306465  67.913531  66.609998
43  Proposed      5         4  68.346489  65.306465  67.913531  66.609998
55  Proposed      5         5  66.423801  65.306465  67.913531  66.609998
8   Proposed     10         1  42.562234  41.995639  46.083697  44.039668
20  Proposed     10         2  42.967011  41.995639  46.083697  44.039668
32  Proposed     10         3  44.221817  41.995639  46.083697  44.039668
44  Proposed     10         4  46.751670  41.995639  46.083697  44.039668
56  Proposed     10         5  43.695608  41.995639  46.083697  44.039668
9   Proposed     15         1  27.120016  24.852846  28.067616  26.460231
21  Proposed     15         2  25.966404  24.852846  28.067616  26.460231
33  Proposed     15         3  25.602105  24.852846  28.067616  26.460231
45  Proposed     15         4  25.217567  24.852846  28.067616  26.460231
57  Proposed     15         5  28.395062  24.852846  28.067616  26.460231
10  Proposed     20         1  14.248128  14.233178  17.638912  15.936045
22  Proposed     20         2  15.098158  14.233178  17.638912  15.936045
34  Proposed     20         3  16.555353  14.233178  17.638912  15.936045
46  Proposed     20         4  17.830399  14.233178  17.638912  15.936045
58  Proposed     20         5  15.948189  14.233178  17.638912  15.936045
11  Proposed     25         1   9.532483   8.056312   9.616224   8.836268
23  Proposed     25         2   8.561020   8.056312   9.616224   8.836268
35  Proposed     25         3   9.228901   8.056312   9.616224   8.836268
47  Proposed     25         4   8.945558   8.056312   9.616224   8.836268
59  Proposed     25         5   7.913378   8.056312   9.616224   8.836268

ia-crime-moreno
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  92.521110  91.367372  92.613328  91.990350
12  Original      0         2  91.676719  91.367372  92.613328  91.990350
24  Original      0         3  92.038601  91.367372  92.613328  91.990350
36  Original      0         4  91.314837  91.367372  92.613328  91.990350
48  Original      0         5  92.400483  91.367372  92.613328  91.990350
1   Original      5         1  65.500603  65.100780  75.502357  70.301568
13  Original      5         2  71.652593  65.100780  75.502357  70.301568
25  Original      5         3  76.236429  65.100780  75.502357  70.301568
37  Original      5         4  70.928830  65.100780  75.502357  70.301568
49  Original      5         5  67.189385  65.100780  75.502357  70.301568
2   Original     10         1  54.523522  40.737214  57.694631  49.215923
14  Original     10         2  50.542823  40.737214  57.694631  49.215923
26  Original     10         3  56.212304  40.737214  57.694631  49.215923
38  Original     10         4  45.114596  40.737214  57.694631  49.215923
50  Original     10         5  39.686369  40.737214  57.694631  49.215923
3   Original     15         1  38.841978  30.218450  40.227870  35.223160
15  Original     15         2  35.585042  30.218450  40.227870  35.223160
27  Original     15         3  34.740651  30.218450  40.227870  35.223160
39  Original     15         4  28.709288  30.218450  40.227870  35.223160
