

inf-power
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  46.893341  46.193064  47.115982  46.654523
12  Original      0         2  47.136207  46.193064  47.115982  46.654523
24  Original      0         3  46.407610  46.193064  47.115982  46.654523
36  Original      0         4  46.630237  46.193064  47.115982  46.654523
48  Original      0         5  46.205222  46.193064  47.115982  46.654523
1   Original      5         1  26.533090  24.479481  26.287570  25.383526
13  Original      5         2  25.622344  24.479481  26.287570  25.383526
25  Original      5         3  24.772313  24.479481  26.287570  25.383526
37  Original      5         4  25.177090  24.479481  26.287570  25.383526
49  Original      5         5  24.812791  24.479481  26.287570  25.383526
2   Original     10         1  13.074276  13.080293  15.440249  14.260271
14  Original     10         2  15.341024  13.080293  15.440249  14.260271
26  Original     10         3  14.329083  13.080293  15.440249  14.260271
38  Original     10         4  14.996964  13.080293  15.440249  14.260271
50  Original     10         5  13.560008  13.080293  15.440249  14.260271
3   Original     15         1   8.378871   7.395030   9.095559   8.245294
15  Original     15         2   9.066990   7.395030   9.095559   8.245294
27  Original     15         3   7.184780   7.395030   9.095559   8.245294
39  Original     15         4   8.459826   7.395030   9.095559   8.245294
51  Original     15         5   8.136005   7.395030   9.095559   8.245294
4   Original     20         1   4.128719   4.367648   5.865098   5.116373
16  Original     20         2   5.504959   4.367648   5.865098   5.116373
28  Original     20         3   5.100182   4.367648   5.865098   5.116373
40  Original     20         4   5.687108   4.367648   5.865098   5.116373
52  Original     20         5   5.160899   4.367648   5.865098   5.116373
5   Original     25         1   3.481077   2.467863   3.401394   2.934629
17  Original     25         2   2.610808   2.467863   3.401394   2.934629
29  Original     25         3   2.995345   2.467863   3.401394   2.934629
41  Original     25         4   2.550091   2.467863   3.401394   2.934629
53  Original     25         5   3.035823   2.467863   3.401394   2.934629
6   Proposed      0         1  52.317345  52.169509  53.177587  52.673548
18  Proposed      0         2  53.228091  52.169509  53.177587  52.673548
30  Proposed      0         3  52.742360  52.169509  53.177587  52.673548
42  Proposed      0         4  52.236389  52.169509  53.177587  52.673548
54  Proposed      0         5  52.843554  52.169509  53.177587  52.673548
7   Proposed      5         1  31.390407  29.382494  31.309674  30.346084
19  Proposed      5         2  30.439182  29.382494  31.309674  30.346084
31  Proposed      5         3  29.224853  29.382494  31.309674  30.346084
43  Proposed      5         4  30.176078  29.382494  31.309674  30.346084
55  Proposed      5         5  30.499899  29.382494  31.309674  30.346084
8   Proposed     10         1  16.211293  15.973525  17.728155  16.850840
20  Proposed     10         2  17.547055  15.973525  17.728155  16.850840
32  Proposed     10         3  16.251771  15.973525  17.728155  16.850840
44  Proposed     10         4  17.668488  15.973525  17.728155  16.850840
56  Proposed     10         5  16.575592  15.973525  17.728155  16.850840
9   Proposed     15         1   9.694394   8.560463  10.294020   9.427241
21  Proposed     15         2  10.058693   8.560463  10.294020   9.427241
33  Proposed     15         3   8.257438   8.560463  10.294020   9.427241
45  Proposed     15         4   9.755110   8.560463  10.294020   9.427241
57  Proposed     15         5   9.370573   8.560463  10.294020   9.427241
10  Proposed     20         1   4.310868   4.637729   6.331710   5.484720
22  Proposed     20         2   5.525197   4.637729   6.331710   5.484720
34  Proposed     20         3   5.768063   4.637729   6.331710   5.484720
46  Proposed     20         4   5.768063   4.637729   6.331710   5.484720
58  Proposed     20         5   6.051407   4.637729   6.331710   5.484720
11  Proposed     25         1   3.784659   2.617506   3.672719   3.145112
23  Proposed     25         2   2.651285   2.617506   3.672719   3.145112
35  Proposed     25         3   3.298927   2.617506   3.672719   3.145112
47  Proposed     25         4   2.975106   2.617506   3.672719   3.145112
59  Proposed     25         5   3.015584   2.617506   3.672719   3.145112

ia-crime-moreno
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  85.162847  83.519016  86.275918  84.897467
12  Original      0         2  83.835947  83.519016  86.275918  84.897467
24  Original      0         3  83.835947  83.519016  86.275918  84.897467
36  Original      0         4  86.489747  83.519016  86.275918  84.897467
48  Original      0         5  85.162847  83.519016  86.275918  84.897467
1   Original      5         1  52.352232  48.267217  64.012638  56.139928
13  Original      5         2  54.644150  48.267217  64.012638  56.139928
25  Original      5         3  65.862485  48.267217  64.012638  56.139928
37  Original      5         4  49.457177  48.267217  64.012638  56.139928
49  Original      5         5  58.383595  48.267217  64.012638  56.139928
2   Original     10         1  34.861279  27.704695  36.131252  31.917973
14  Original     10         2  30.639324  27.704695  36.131252  31.917973
26  Original     10         3  36.067551  27.704695  36.131252  31.917973
38  Original     10         4  29.915561  27.704695  36.131252  31.917973
50  Original     10         5  28.106152  27.704695  36.131252  31.917973
3   Original     15         1  22.195416  16.066709  24.898309  20.482509
15  Original     15         2  25.572979  16.066709  24.898309  20.482509
27  Original     15         3  20.265380  16.066709  24.898309  20.482509
39  Original     15         4  17.249698  16.066709  24.898309  20.482509
51  Original     15         5  17.129071  16.066709  24.898309  20.482509
4   Original     20         1   9.529554   7.622032  11.244072   9.433052
16  Original     20         2   9.650181   7.622032  11.244072   9.433052
28  Original     20         3   7.237636   7.622032  11.244072   9.433052
40  Original     20         4  11.338963   7.622032  11.244072   9.433052
52  Original     20         5   9.408926   7.622032  11.244072   9.433052
5   Original     25         1   5.066345   4.863524   8.646729   6.755127
17  Original     25         2   8.685163   4.863524   8.646729   6.755127
29  Original     25         3   6.875754   4.863524   8.646729   6.755127
41  Original     25         4   7.720145   4.863524   8.646729   6.755127
53  Original     25         5   5.428227   4.863524   8.646729   6.755127
6   Proposed      0         1  86.007238  83.843615  86.337326  85.090470
18  Proposed      0         2  83.715320  83.843615  86.337326  85.090470
30  Proposed      0         3  84.439083  83.843615  86.337326  85.090470
42  Proposed      0         4  86.007238  83.843615  86.337326  85.090470
54  Proposed      0         5  85.283474  83.843615  86.337326  85.090470
7   Proposed      5         1  55.126659  49.564978  63.824649  56.694813
19  Proposed      5         2  53.558504  49.564978  63.824649  56.694813
31  Proposed      5         3  65.983112  49.564978  63.824649  56.694813
43  Proposed      5         4  51.025332  49.564978  63.824649  56.694813
55  Proposed      5         5  57.780458  49.564978  63.824649  56.694813
8   Proposed     10         1  34.137515  23.337403  36.590221  29.963812
20  Proposed     10         2  31.483715  23.337403  36.590221  29.963812
32  Proposed     10         3  35.223160  23.337403  36.590221  29.963812
44  Proposed     10         4  26.296743  23.337403  36.590221  29.963812
56  Proposed     10         5  22.677925  23.337403  36.590221  29.963812
9   Proposed     15         1  18.455971  15.834182  23.297302  19.565742
21  Proposed     15         2  23.884198  15.834182  23.297302  19.565742
33  Proposed     15         3  21.351025  15.834182  23.297302  19.565742
45  Proposed     15         4  16.525935  15.834182  23.297302  19.565742
57  Proposed     15         5  17.611580  15.834182  23.297302  19.565742
10  Proposed     20         1   9.288299   5.371042  10.600008   7.985525
22  Proposed     20         2   7.720145   5.371042  10.600008   7.985525
34  Proposed     20         3   5.307600   5.371042  10.600008   7.985525
46  Proposed     20         4  10.735826   5.371042  10.600008   7.985525
58  Proposed     20         5   6.875754   5.371042  10.600008   7.985525
11  Proposed     25         1   4.342581   4.453210   5.920734   5.186972
23  Proposed     25         2   5.548854   4.453210   5.920734   5.186972
35  Proposed     25         3   5.428227   4.453210   5.920734   5.186972
47  Proposed     25         4   5.790109   4.453210   5.920734   5.186972
59  Proposed     25         5   4.825090   4.453210   5.920734   5.186972

power-685-bus
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  76.350365  75.996912  76.645424  76.321168
12  Original      0         2  76.350365  75.996912  76.645424  76.321168
24  Original      0         3  76.350365  75.996912  76.645424  76.321168
36  Original      0         4  76.642336  75.996912  76.645424  76.321168
48  Original      0         5  75.912409  75.996912  76.645424  76.321168
1   Original      5         1  33.722628  30.573384  38.214937  34.394161
13  Original      5         2  30.364964  30.573384  38.214937  34.394161
25  Original      5         3  34.160584  30.573384  38.214937  34.394161
37  Original      5         4  34.744526  30.573384  38.214937  34.394161
49  Original      5         5  38.978102  30.573384  38.214937  34.394161
2   Original     10         1   9.635036  10.177946  17.851252  14.014599
14  Original     10         2  12.554745  10.177946  17.851252  14.014599
26  Original     10         3  14.598540  10.177946  17.851252  14.014599
38  Original     10         4  15.474453  10.177946  17.851252  14.014599
50  Original     10         5  17.810219  10.177946  17.851252  14.014599
3   Original     15         1   3.795620   2.214401   6.311146   4.262774
15  Original     15         2   6.861314   2.214401   6.311146   4.262774
27  Original     15         3   2.481752   2.214401   6.311146   4.262774
39  Original     15         4   4.671533   2.214401   6.311146   4.262774
51  Original     15         5   3.503650   2.214401   6.311146   4.262774
4   Original     20         1   3.357664   1.849450   3.697995   2.773723
16  Original     20         2   3.649635   1.849450   3.697995   2.773723
28  Original     20         3   2.773723   1.849450   3.697995   2.773723
40  Original     20         4   1.897810   1.849450   3.697995   2.773723
52  Original     20         5   2.189781   1.849450   3.697995   2.773723
5   Original     25         1   1.459854   0.672141   2.013990   1.343066
17  Original     25         2   2.043796   0.672141   2.013990   1.343066
29  Original     25         3   0.729927   0.672141   2.013990   1.343066
41  Original     25         4   0.875912   0.672141   2.013990   1.343066
53  Original     25         5   1.605839   0.672141   2.013990   1.343066
6   Proposed      0         1  86.715328  86.050629  88.898276  87.474453
18  Proposed      0         2  88.029197  86.050629  88.898276  87.474453
30  Proposed      0         3  85.839416  86.050629  88.898276  87.474453
42  Proposed      0         4  88.467153  86.050629  88.898276  87.474453
54  Proposed      0         5  88.321168  86.050629  88.898276  87.474453
7   Proposed      5         1  43.649635  40.521643  49.872518  45.197080
19  Proposed      5         2  39.416058  40.521643  49.872518  45.197080
31  Proposed      5         3  46.861314  40.521643  49.872518  45.197080
43  Proposed      5         4  47.007299  40.521643  49.872518  45.197080
55  Proposed      5         5  49.051095  40.521643  49.872518  45.197080
8   Proposed     10         1  11.532847  12.259898  20.324044  16.291971
20  Proposed     10         2  14.744526  12.259898  20.324044  16.291971
32  Proposed     10         3  17.664234  12.259898  20.324044  16.291971
44  Proposed     10         4  17.518248  12.259898  20.324044  16.291971
56  Proposed     10         5  20.000000  12.259898  20.324044  16.291971
9   Proposed     15         1   3.941606   3.378991   8.825388   6.102190
21  Proposed     15         2   7.737226   3.378991   8.825388   6.102190
33  Proposed     15         3   4.525547   3.378991   8.825388   6.102190
45  Proposed     15         4   9.051095   3.378991   8.825388   6.102190
57  Proposed     15         5   5.255474   3.378991   8.825388   6.102190
10  Proposed     20         1   2.773723   2.533507   3.539486   3.036496
22  Proposed     20         2   3.649635   2.533507   3.539486   3.036496
34  Proposed     20         3   2.919708   2.533507   3.539486   3.036496
46  Proposed     20         4   3.211679   2.533507   3.539486   3.036496
58  Proposed     20         5   2.627737   2.533507   3.539486   3.036496
11  Proposed     25         1   2.481752   1.102607   2.342649   1.722628
23  Proposed     25         2   1.897810   1.102607   2.342649   1.722628
35  Proposed     25         3   1.167883   1.102607   2.342649   1.722628
47  Proposed     25         4   1.459854   1.102607   2.342649   1.722628
59  Proposed     25         5   1.605839   1.102607   2.342649   1.722628

socfb-Bowdoin47
        type  noise iteration   accuracy   ci_lower   ci_upper    avg acc
0   Original      0         1  99.777975  99.703477  99.887997  99.795737
12  Original      0         2  99.911190  99.703477  99.887997  99.795737
24  Original      0         3  99.733570  99.703477  99.887997  99.795737
